Res_Real,Res_Imag,Fit_Real,Fit_Imag,freq,Data_Real,Data_Imag
-1.73997641223355,2.76660382521316,4850.05959481686,-7192.94707674945,1146208.346,4703.885551,-6960.526875
-2.05287368244898,2.51836227411027,4994.80412506574,-7287.30466396462,1114195.806,4819.125395,-7071.790826
-2.59017454828709,2.17276604567256,5142.74113926483,-7380.1135041646,1083077.347,4917.104274,-7190.838183
-2.74906885095118,2.00275106661185,5293.75029935953,-7471.23192230586,1052827.998,5049.876223,-7293.564831
-2.92567298348923,1.81048693685133,5447.69932981586,-7560.52691750869,1023423.485,5183.441838,-7396.997111
-3.06709405255651,1.60713188567616,5604.4446292667,-7647.87540705781,994840.213,5322.37408,-7500.072775
-3.22827771766842,1.37924403016062,5763.83204282785,-7733.16543374283,967055.246,5461.594872,-7604.038125
-3.35698971034857,1.14743326987058,5925.69779045243,-7816.29731448272,940046.286,5605.775194,-7706.946419
-3.50478803587344,0.916579504279318,6089.86947185027,-7897.18467401327,913791.663,5750.00944,-7808.303767
-3.55944992019247,0.676927963597097,6256.16731966811,-7975.75543739821,888270.306,5904.846587,-7908.942072
-3.68077227805639,0.416068782374793,6424.40543520597,-8051.95263450636,863461.737,6054.81541,-8010.174752
-3.73446581307309,0.1507985252218,6594.39323125904,-8125.73512040994,839346.049,6212.861158,-8110.328774
-3.79435627291957,-0.12011180105776,6765.93693262408,-8197.07812958936,815903.89,6371.625911,-8209.560196
-3.79935810395231,-0.401935153535368,6938.8411443433,-8265.97366730821,793116.448,6537.176425,-8308.46589
-3.78017491453473,-0.700318948059736,7112.91045070626,-8332.43072280312,770965.439,6706.360577,-8407.748555
-3.80449938688128,-0.945120680547946,7287.95110984316,-8396.47533071561,749433.087,6872.106772,-8499.78014
-3.76014678935075,-1.23320469655813,7463.77268420807,-8458.15042274891,728502.114,7045.868466,-8595.209286
-3.6837898237455,-1.51491541989931,7640.18971613864,-8517.51552012662,708155.723,7223.939885,-8688.693388
-3.65751443587404,-1.78193272438629,7817.02331324276,-8574.64622769775,688377.588,7397.13773,-8779.21353
-3.55285338886684,-2.08577819684736,7994.10273107322,-8629.63357353717,669151.838,7579.498952,-8873.035546
-3.43036575040591,-2.36373916154715,8171.26683894492,-8682.58317014931,650463.046,7764.482062,-8962.883633
-3.29904332143296,-2.60512884954357,8348.36552032969,-8733.61423150236,632296.215,7951.006969,-9047.393144
-3.13135831169411,-2.85123555118068,8525.26094638519,-8782.85844472641,614636.766,8142.15554,-9131.692288
-2.9773983202883,-3.09834529278746,8701.82869427242,-8830.45870922068,597470.529,8331.930423,-9215.382876
-2.77196342149447,-3.31113603190036,8877.95877836461,-8876.5677821374,580783.729,8528.301372,-9294.236799
